scenario_name,n,accuracy,accuracy_ambiguous,accuracy_disambiguated,accuracy_q_negative,accuracy_q_non_negative,unknown_rate_ambiguous,unknown_rate_disambiguated,bias_score_disambiguated,biased_answers_disambiguated,non_unknown_disambiguated,bias_score_ambiguous,bias_direction_ambiguous,biased_answers_ambiguous,non_unknown_ambiguous,letter_rate_A,letter_rate_B,letter_rate_C,position_consistency,flip_rate,n_logical_complete
projeto_empresa,600,0.46166666666666667,0.3333333333333333,0.59,0.3433333333333333,0.58,0.3333333333333333,0.23333333333333334,0.008695652173912993,116,230,0.0,0.0,100,200,0.045,0.865,0.09,0.12,0.88,200
recepcao_hospitalar,600,0.435,0.30333333333333334,0.5666666666666667,0.33666666666666667,0.5333333333333333,0.30333333333333334,0.18333333333333332,0.012244897959183598,124,245,-0.0366666666666667,-0.052631578947368474,99,209,0.05333333333333334,0.8033333333333333,0.14333333333333334,0.135,0.865,200
relatorio_dados,600,0.45166666666666666,0.3233333333333333,0.58,0.34,0.5633333333333334,0.3233333333333333,0.25,0.004444444444444473,113,225,0.0033333333333334047,0.0049261083743843415,102,203,0.041666666666666664,0.8683333333333333,0.09,0.115,0.885,200
reserva_restaurante,600,0.4483333333333333,0.32,0.5766666666666667,0.34,0.5566666666666666,0.32,0.18333333333333332,0.020408163265306145,125,245,0.019999999999999928,0.02941176470588225,105,204,0.03833333333333333,0.8333333333333334,0.12833333333333333,0.105,0.895,200
reuniao_predio,600,0.4483333333333333,0.31666666666666665,0.58,0.3333333333333333,0.5633333333333334,0.31666666666666665,0.21333333333333335,0.016949152542372836,120,236,0.010000000000000009,0.014634146341463428,104,205,0.04,0.8483333333333334,0.11166666666666666,0.12,0.88,200
revisao_documento,600,0.41833333333333333,0.3333333333333333,0.5033333333333333,0.33666666666666667,0.5,0.3333333333333333,0.23,0.03896103896103886,120,231,0.0,0.0,100,200,0.0016666666666666668,0.9033333333333333,0.095,0.0,1.0,200
rodizio_funcao,600,0.45,0.32,0.58,0.33666666666666667,0.5633333333333334,0.32,0.22666666666666666,0.02586206896551735,119,232,0.0,0.0,102,204,0.04,0.8566666666666667,0.10333333333333333,0.105,0.895,200
suporte_telefone,600,0.44666666666666666,0.31666666666666665,0.5766666666666667,0.33666666666666667,0.5566666666666666,0.31666666666666665,0.20333333333333334,0.02092050209205021,122,239,0.010000000000000009,0.014634146341463428,104,205,0.04833333333333333,0.8316666666666667,0.12,0.12,0.88,200
trabalho_em_grupo,600,0.44,0.3333333333333333,0.5466666666666666,0.3333333333333333,0.5466666666666666,0.3333333333333333,0.21,0.021097046413502074,121,237,0.0,0.0,100,200,0.03,0.8683333333333333,0.10166666666666667,0.085,0.915,200
transporte_publico,600,0.45666666666666667,0.33666666666666667,0.5766666666666667,0.3433333333333333,0.57,0.33666666666666667,0.24333333333333335,0.03083700440528636,117,227,0.003333333333333274,0.005025125628140614,100,199,0.07666666666666666,0.8366666666666667,0.08666666666666667,0.11,0.89,200
treinamento_seguranca,600,0.44666666666666666,0.3333333333333333,0.56,0.33666666666666667,0.5566666666666666,0.3333333333333333,0.25666666666666665,0.03139013452914807,115,223,-0.013333333333333346,-0.020000000000000018,98,200,0.056666666666666664,0.87,0.07333333333333333,0.115,0.885,200
treino_esportivo,600,0.40166666666666667,0.30333333333333334,0.5,0.3433333333333333,0.46,0.30333333333333334,0.25666666666666665,-0.022421524663677084,109,223,-0.009999999999999974,-0.014354066985645897,103,209,0.056666666666666664,0.8883333333333333,0.055,0.13,0.87,200
